Number,Name
3,"A., Sonay"
4,"Aarestrup, Emil"
5,"Abarbanell, Stephan"
6,"Abbott, David"
7,"Äbdülrähmanlı, Näriman"
8,"Abedi, Isabel"
9,"Abel, Winnie"
10,"Abele, Jan"
11,"Abell, Arthur M."
12,"Abeln, Reinhard"
13,"Ablaß, Werner E."
14,"Abraham, Filo M."
15,"Abreu, Carlos"
16,"Acero, Irene"
17,"Achermann, Franz Heinrich"
18,"Achleitner, Friedrich"
19,"Achternbusch, Herbert"
20,"Ackermann, Erich"
21,"Ackermann, Rolf"
22,"Acklin, Jürg"
23,"Acosta, Luis A."
24,"Adam, Gabi"
25,"Adams Richards, David"
26,"Adams, Lilly"
27,"Addams, Peter"
28,"Adi Mira, Michaels"
29,"Adib, Mu."
30,"Adler, H. G."
31,"Adler, Hans"
32,"Adler, Katharina"
33,"Adlhoch, Christine"
34,"Admoni, Vladimir G."
35,"Adorján, Johanna"
36,"Adorno, Theodor W."
37,"Aebi, Peter"
38,"Aebli, Kurt"
39,"Aehnlich, Kathrin"
40,"Ahern, Cecelia"
41,"Ahlborn, Siegfried Heinz-Jürgen"
42,"Ahlers, Marieta"
43,"Ahlswede, Elke"
44,"Ahrens, Hanna"
45,"Ahrens, Renate"
46,"Aichelburg, Wolf von"
47,"Aichinger, Ilse"
48,"Aichmayr, Michael"
49,"Aichner, Bernhard"
50,"Aigner, Christoph Wilhelm"
51,"Aiken, Joan"
52,"Aksu Yılmazer, Zehra"
53,"Alafenisch, Salim"
54,"Alahmadi, Galal"
55,"Albaneze, Bruna"
56,"Albany, James"
57,"Alberts, Jürgen"
58,Albertus &lt
59,"Albes, Andreas"
60,"Albrecht, Stefan"
61,"Alekseeva, Irina Sergeevna"
62,"Alešovec, Jakob"
63,"Alexander, Anne"
64,Alexandra
65,"Alexandre, Maxime"
66,"Alexis, Willibald"
67,"Alioth, Gabrielle"
68,"Allemann, Urs"
69,"Allmend, Peter"
70,"Alpsten, Ellen"
71,"Altenberg, Peter"
72,"Altenburg, Matthias"
73,"Altmann, Andreas"
74,"Altrichter, Michal"
75,"Altschüler, Boris"
76,"Amann, Jürg"
77,"Amanuma, Haruki"
78,"Ambers, Jennifer"
79,"Ambras, Elisabeth"
80,"Amenda, Alfred"
81,"Amery, Carl"
82,"Améry, Jean"
83,"Ammelrooy, Anneke van"
84,"Amrein, Nicole"
85,"Amsler, Jean"
86,"Andeck, Mara"
87,"Anderhandt, Jakob"
88,"Anderka, Johanna"
89,"Anders, Günther"
90,"Andersch, Alfred"
91,"Andersen, Hans Christian"
92,"Anderson, Poppy J."
93,"Anderson, Uta"
94,"Andersson, Leif Lasse"
95,"André, Günter"
96,"Andreä, Johann Valentin"
97,"Andreas-Salomé, Lou"
98,"Andree, Ina"
99,"Andres, Stefan"
100,"Andresky, Sophie"
101,"Angeles Torras Piqué, Maria de los"
102,"Angelroth, Dirk"
103,Angelus &lt
104,"Ani, Friedrich"
105,"Annas, Max"
106,"Ansary, Maryam"
107,"Antal, László"
108,"Antonietti, Federica"
109,"Anzengruber, Ludwig"
110,"Aoyama, Akane"
111,"Apitz, Bruno"
112,"Apostolova, Božana"
113,"Appel, Jörg"
114,"Appelbaum, Stanley"
115,"Apt, Solomon Konstantinovič"
116,"Aṙak̕elyan, Ara"
117,"Arango, Sascha"
118,"Arbenz, Peter U."
119,"Archer, Ursula"
120,"Archipov, Jurij I."
121,"Arendt, Hannah"
122,"Arens, Annegrit"
123,"Arenz, Ewald"
124,"Arjouni, Jakob"
125,"Arnau, Frank"
126,"Arndt, Karin"
127,"Arnim, Achim von"
128,"Arnim, Mary Annette von"
129,"Arold, Marliese"
130,"Arp, Hans"
131,"Arslan Yeşilay, Sibel"
132,"Artmann, H. C."
133,"Arven, Melisande"
134,"Arzeni, Flavia"
135,"Arzt, Thomas"
136,"Askan, Katrin"
137,"Ast, Victor"
138,"Astel, Arnfrid"
139,"Atabay, Cyrus"
140,ATAK
141,"Atäşi, Nuridä"
142,"Auel, Jean M."
143,"Auffermann, Verena"
144,August &lt
145,"Augustin, Anita"
146,"Augustin, Eduard"
147,"Augustin, Ernst"
148,"Augustin, Hans"
149,"Augustin, Michael"
150,"Augustová, Zuzana"
151,"Aumale, Austra"
152,"Ausländer, Rose"
153,"Austen, Jane"
154,"Auwad, Fouad el-"
155,"Averbeck, Sanne"
156,"Aydemir, Fatma"
157,"Ayim, May"
158,"Ayoub, Susanne"
159,"Aytaç, Gürsel"
160,"Babarczy, Eszter"
161,"Babendererde, Antje"
162,"Babunin, Svetokril"
163,"Bach, Cara"
164,"Bach, Günther"
165,"Bach, Leonie"
166,"Bach, Tabea"
167,"Bachér, Ingrid"
168,"Bacher, Josef"
169,"Bachmann, Dieter"
170,"Bachmann, Ingeborg"
171,"Bachmann, Ingeborg, 1926-1973"
172,"Bachofen, Johann Jakob"
173,"Back, Jean"
174,"Bäcker, Heimrad"
175,"Badenhop, Hartmut"
176,"Bader, Katarina"
177,"Badoux, Christophe"
178,"Badrije, Maia"
179,"Baer, Frank"
180,Baeredel
181,"Baesecke, Georg"
182,"Bagheri-Goldschmied, Nahid"
183,"Bagus, Clara Maria"
184,"Bahr, Hermann"
185,"Bahrdt, Carl Friedrich"
186,"Baier, Lothar"
187,"Bailly, Jean-Christophe"
188,"Baitinger, Max"
189,"Balàka, Bettina"
190,"Baldauf, Paul"
191,"Baldermann, Ingo"
192,"Balfour, Liz"
193,"Ball, Hugo"
194,"Balla, Zsófia"
195,"Ballabene, Alfred"
196,"Ballestrem, Adlerofeld F."
197,"Ballien, Tilo"
198,"Balling, Adalbert Ludwig"
199,"Balvin, Josef"
200,"Balzamo, Elena"
201,"Bamm, Peter"
202,"Banciu, Carmen Francesca"
203,"Banciu, Carmen-Francesca"
204,"Bang, Herman"
205,"Baniewicz, Elżbieta"
206,"Bánk, Zsuzsa"
207,"Bankhofer, Hademar"
208,"Bankl, Hans"
209,"Bannalec, Jean-Luc"
210,"Bänsch, Dieter"
211,"Banz, Stefan"
212,"Baranyi, Ferenc"
213,"Barberio Corsetti, Giorgio"
214,"Barbetta, María Cecilia"
215,"Barbosa, Marcos"
216,"Bardéz, Roberto"
217,"Bardon, Franz"
218,"Bareišienė, Laima"
219,"Bärend, Irmhild"
220,"Barényi, Olga"
221,"Bärfuss, Lukas"
222,"Bargen, Walter"
223,"Barkow, Nick"
224,"Barlach, Ernst"
225,"Barnes, Keith"
226,"Baronski, Eva"
227,"Baronsky, Eva"
228,"Bart, Lore"
229,"Bartel, Jörg"
230,"Barth, Armin P."
231,"Barth, Peter"
232,"Barthel, Helmut"
233,"Bartsch, Carina"
234,"Bartsch, Stefanie"
235,"Bartschat, Peter Gustav"
236,"Barylli, Gabriel"
237,"Barz, Paul"
238,"Baselitz, Georg"
239,"Basner, Gerhard Friedrich"
240,"Bastian, Till"
241,"Bata, János"
242,"Bau, Holger"
243,"Bauch, Christian"
244,"Bauer, Alfredo"
245,"Bauer, Angeline"
246,"Bauer, Christoph W."
247,"Bauer, Dieter"
248,"Bauer, Gerhard"
249,"Bauer, Gerhard M."
250,"Bauer, Josef Martin"
251,"Bauer, Josef Martin, 1901-1970"
252,"Bauer, Jutta"
253,"Bauer, Katharina"
254,"Bauer, Ulrike"
255,"Bauer, Wolfgang"
256,"Bauerdick, Rolf"
257,"Bauersima, Igor"
258,"Bauknecht, Werner"
259,"Baum, Beate"
260,"Baum, Oskar"
261,"Baum, Vicki"
262,"Baumann, Iren"
263,"Baumann, Kurt"
264,"Baumann, Peter"
265,"Baumbach, Rudolf"
266,"Baume, Sara"
267,"Baumgarten, Jürgen"
268,"Baumm, Stefanie"
269,"Bayer, Ingeborg"
270,"Bayer, Konrad"
271,"Bayer, Thommie"
272,"Bayraktar, Mesut"
273,"Bazlen, Roberto"
274,"Bazyar, Shida"
275,"Beaulieu, Jonathan"
276,"Béchar, Christine"
277,"Becher, Ulrich"
278,"Bechstein, Ludwig"
279,"Beck, Eleonore"
280,"Beck, Peter"
281,"Beck, Rufus"
282,"Beck, Zoë"
283,"Becker Alvarez, Nora"
284,"Becker, Artur"
285,"Becker, Cornelia"
286,"Becker, Frank S."
287,"Becker, Friedrich"
288,"Becker, Jurek"
289,"Becker, Jürgen"
290,"Becker, Jürgen Jakob"
291,"Becker, Lars"
292,"Becker, Martha Ellen"
293,"Becker, Simon"
294,"Becker, Thorsten"
295,"Becker, Zdenka"
296,"Beckmann, Mani"
297,"Bédier, Joseph"
298,"Bedir-Xan, Kâmuran"
299,"Bednarz, Dieter"
300,"Beele, Louisa"
301,"Beer-Hofmann, Richard, 1866-1945"
302,"Beer, Alex"
303,"Beer, Erich"
304,"Beer, Johann"
305,"Beer, Natalie"
306,"Beerwald, Sina"
307,"Beethoven, Ludwig van"
308,"Begert, Roland"
309,"Behlert, Małgorzata."
310,"Behmann, Ulrich"
311,"Beholz, Robert"
312,"Behr, Barbara"
313,"Behr, Hans-Georg"
314,"Behr, Hermann"
315,"Behrendt, Leni"
316,"Bekker, Alfred"
317,"Belago, Linda"
318,"Belić, Bojan"
319,"Belin, Sara"
320,"Belitz, Bettina"
321,"Bellina, Luisa"
322,"Bemmann, Hans"
323,"Bender, Hans"
324,"Bender, Marylka"
325,"Benedek, Thomas G."
326,"Benesch, Kurt"
327,"Benioff, David"
328,"Benjamin, Walter"
329,"Benkau, Jennifer"
330,"Benn, Gottfried"
331,"Bennett, Ben"
332,"Benning, Sophie"
333,"Benno, Johann Ernst"
334,"Bentivegni, Ina von"
335,"Bentow, Max"
336,"Benyovszky, Karl"
337,"Beraje, Marina"
338,"Bérard, Sophie"
339,"Berberich, Eva"
340,"Berchem, Melanie"
341,"Berenz, Björn"
342,"Bereuter, Elmar"
343,"Berg, Alex"
344,"Berg, Balthasar"
345,"Berg, Ellen"
346,"Berg, Eric"
347,"Berg, Eva-Maria"
348,"Berg, Jeroen van den"
349,"Berg, Peter"
350,"Berg, Sibylle"
351,"Berg, Sophie"
352,"Bergel, Hans"
353,"Bergen, Jakov"
354,"Bergen, Marie"
355,"Bergengruen, Werner"
356,"Berger, Axel"
357,"Berger, Clemens"
358,"Berger, Frederik"
359,"Berger, Herbert"
360,"Berger, Lore"
361,"Berger, Senta"
362,"Bergh, Illa van"
363,"Bergius, C. C."
364,"Bergmann, Brigitte"
365,"Bergmann, Claire"
366,"Bergmann, Emanuel"
367,"Bergmann, Fabian"
368,"Bergmann, Renate"
369,"Berije, Levan"
370,"Berkel, Christian"
371,"Berkeley, Ben"
372,"Berkéwicz, Ulla"
373,"Berkow, Karl"
374,"Berlin, Aleksander"
375,"Berlin, Katja"
376,"Berling, Peter"
377,"Bermúdez-Cañete, Federico"
378,"Bern, Alex von"
379,"Bernard, Caroline"
380,"Berndorf, Jacques"
381,"Berner, Rotraut Susanne"
382,"Bernfeld, Rainer"
383,"Bernhard, Thomas"
384,"Bernhardt, Oskar Ernst"
385,"Bernig, Jörg"
386,"Bernuth, Christa"
387,"Berst-Frediani, Sascha"
388,"Bertaux, Félix"
389,"Berthold, Will"
390,"Bertola de' Giorgi, Aurelio"
391,"Bessing, Joachim"
392,"Beto, Isabel"
393,"Bettauer, Hugo"
394,"Bettermann, Stella"
395,"Bettinger, Martin"
396,"Beuß, Barbara"
397,"Beutelspacher, Albrecht"
398,"Beutling, Julia"
399,"Bevilacqua, Giuseppe"
400,"Bewersdorff-Langlotz, Eva-Saskia"
401,"Beyeler, Hermann Alexander"
402,"Beyer, Claire"
403,"Beyer, Marcel"
404,"Beyer, Sigrid"
405,"Beyerlein, Gabriele"
406,"Beyse, Jochen"
407,"Białek, Edward"
408,"Biberger, Erich Ludwig"
409,"Bichsel, Peter"
410,"Bichsel, Therese"
411,"Bickel, Margot"
412,"Bieber, Horst"
413,"Bielen, Valerie"
414,"Bielenstein, Daniel"
415,"Bieler, Manfred"
416,"Bienek, Gustav Karl"
417,"Bienek, Horst"
418,"Bierbaum, Otto Julius"
419,"Bierce, Ambrose"
420,"Biermann, Pieke"
421,"Biernath, Horst"
422,"Bikont, Karolina"
423,"Bikont, Karolina (1975-) Sonstige"
424,"Biller, Maxim"
425,"Billmann, Catherine"
426,"Bilse, Fritz Oswald"
427,"Bilsen, Rita van"
428,"Bin-Gorion, Micha Josef"
429,"Binder, Christiane Maria"
430,"Binder, Luisa"
431,"Binder, Wolfgang"
432,"Binkert, Dörthe"
433,"Birbaek, Michel"
434,"Birkefeld, Richard"
435,"Birkner, Friede"
436,"Bischoff, Friedrich"
437,"Bitter, Joachim"
438,"Bittner, Wolfgang"
439,"Bjerg, Bov"
440,"Blackall, Eric A."
441,"Blaise, Henri"
442,"Blank-Eismann, Marie"
443,"Blankertz, Stefan"
444,"Blaschek, Ulrike"
445,"Blaszczyk, Erika"
446,"Blatter, Silvio"
447,"Blauhut, Holger"
448,"Bleher, Amanda Flora Hilda"
449,"Bleker, Dorothée"
450,"Blickensdörfer, Hans"
451,"Blinda, Antje"
452,"Blobel, Brigitte"
453,"Bloch, Chajim"
454,"Bloch, Ernst"
455,"Bloch, Robert"
456,"Blom, Philipp"
457,"Bluhm, Detlef"
458,"Blum, Arne"
459,"Blume, Dorothea"
460,Bô Yin Râ
461,"Bobbio, Marigold"
462,"Bobrowski, Johannes"
463,"Böckl, Manfred"
464,"Böckler, Michael"
465,"Bode, Sabine"
466,"Bodmershof, Imma"
467,"Bodrožić, Marica"
468,"Boehning, Larissa"
469,"Boeser, Knut"
470,"Boëtius, Henning"
471,"Bogdan, Isabel"
472,"Bogner, Piet"
473,"Bohnhorst, Brigitte"
474,"Bok, Václav"
475,"Böke, Hubert"
476,"Bold, Emily"
477,"Böldl, Klaus"
478,"Bolinder, Jean"
479,"Böll, Heinrich"
480,"Böll, Lisa"
481,"Bolliger, Max"
482,"Bollmann, Sören"
483,"Boltshauser, Patrick"
484,"Boltz, Herbert"
485,"Bomann, Corina"
486,Bonaventura
487,"Bond, Edward"
488,"Bondarev, Jurij"
489,"Bondy, Luc"
490,"Bonhoeffer, Dietrich"
491,"Bonné, Mirko"
492,"Bönnen, Rolf"
493,"Bonner, Stefan"
494,"Boos, Gerhard"
495,"Boos, Verena"
496,"Borchardt, Rudolf"
497,"Borchers, Elisabeth"
498,"Borchert, Wolfgang"
499,"Borger, Martina"
500,"Borgert, Udo"
501,"Borgnet, Guy"
502,"Borkent, Ria"
503,"Born, Christoph"
504,"Born, Nicolas"
505,"Borowski, Mateusz"
506,"Borra, Antonello"
507,"Borries, Friedrich von"
508,"Borrmann, Mechtild"
509,"Borsch, Frank"
510,"Boschwitz, Ulrich Alexander"
511,"Bosetzky, Horst"
512,"Bosley, Keith"
513,"Bosmans, Phil"
514,"Bosse-Sporleder, Maria"
515,"Bossong, Nora"
516,"Bote, Hermann Angebl. Verf."
517,"Bote, Hermann Sonstige"
518,"Böttcher, Sven"
519,"Bottini, Oliver"
520,"Boulad, Henri"
521,"Bouma, Hans"
522,"Boura, Ewa"
523,"Bourne, Sam"
524,"Bouvier, Claire"
525,"Boysen, Margret"
526,"Bozikovic, Michel"
527,"Bracharz, Kurt"
528,"Bradbury, Ray"
529,"Braem, Harald"
530,"Brakoniecki, Kazimierz"
531,"Brambach, Rainer"
532,"Brand, Jule"
533,"Brandes, Silke"
534,"Brandhorst, Andreas"
535,"Brandis, Mark"
536,"Brandl, Friedrich"
537,"Brandstetter, Alois"
538,BrandStifter
539,"Brandt, Jan"
540,"Brandt, Matthias"
541,"Brandt, Susanne"
542,"Brant, Sebastian"
543,"Brasch, Marion"
544,"Brasch, Thomas"
545,"Braslavsky, Emma"
546,"Brätter, Peter"
547,"Braumann, Franz"
548,"Braun, Hans Martin"
549,"Braun, Marcus"
550,"Braun, Volker"
551,"Braunburg, Rudolf"
552,"Bräunig, Werner"
553,"Bravo-Villasante, Carmen"
554,"Brechbühl, Beat"
555,"Brecht, Bertolt"
556,"Brecht, Bertolt, 1898-1956 Sonstige"
557,"Bredel, Willi"
558,"Brednich, Rolf Wilhelm"
559,"Breinersdorfer, Fred"
560,"Breinholst, Willy"
561,"Breitbach, Joseph"
562,"Breitenbach, Roland"
563,"Breitholtz, Lennart"
564,"Breloer, Heinrich"
565,"Brem, Ilse"
566,"Bremer, Alida"
567,"Bremer, Jan Peter"
568,"Brendel, Alfred"
569,"Brendt, Peter"
570,"Brenner, Wolfgang"
571,"Brentano, Bernard von"
572,"Brentano, Clemens"
573,"Brentano, Franz"
574,"Breuers, Dieter"
575,"Breyer, Nikolaus"
576,"Brezina, Thomas"
577,"Brežná, Irena"
578,"Breznik, Melitta"
579,"Briggs, Patricia"
580,"Bril-Jäger, Roswitha"
581,"Brincken, Gertrud von den"
582,"Bringolf, Hans Ormund"
583,"Bringston, Robert"
584,"Brinkmann, Rolf Dieter"
585,"Broch, Hermann"
586,"Brockmann, Reiner"
587,"Brod, Max"
588,"Brodsḳi, ʿAdah"
589,"Brodsky, Ada"
590,"Bronsky, Alina"
591,"Brosi, Patrick"
592,"Broszinski, Hartmut"
593,"Brown, Andrea"
594,"Brown, Jane K."
595,"Brown, Lilly"
596,"Brown, Sandra"
597,"Brückmann, Kathrin"
598,"Brückner, Christine"
